Date,Price,Open,High,Low,Vol.,Change %,CPI_Combined,Inflation_Rate,Gold_Returns,Rolling_Corr_12m,Rolling_Corr_24m,Rolling_Beta_12m
2015-01-01,1065.3,"1,141.30","1,142.70","1,051.60",3.17M,-6.67%,118.3,-5.284227381905526,-6.667250744699505,0.21504237085871328,0.1918645273736448,0.32936373102222277
2015-01-01,1065.3,"1,141.30","1,142.70","1,051.60",3.17M,-6.67%,118.4,0.08453085376163294,0.0,0.2144395241445046,0.19199240033454038,0.32775785879425395
2015-01-01,1065.3,"1,141.30","1,142.70","1,051.60",3.17M,-6.67%,118.7,0.2533783783783772,0.0,0.21321131833357698,0.19258478191337014,0.32487868834406075
2015-01-01,1065.3,"1,141.30","1,142.70","1,051.60",3.17M,-6.67%,119.5,0.6739679865206405,0.0,0.9613016035615629,0.19502635039658175,1.0659299919466516
2015-01-01,1065.3,"1,141.30","1,142.70","1,051.60",3.17M,-6.67%,120.6,0.9205020920502127,0.0,0.9613016035615629,0.1892210432887676,1.0659299919466514
2015-01-01,1065.3,"1,141.30","1,142.70","1,051.60",3.17M,-6.67%,122.3,1.4096185737976885,0.0,0.9613016035615629,0.19491332778113182,1.0659299919466518
2015-01-01,1095.1,"1,172.40","1,174.40","1,072.30",3.60M,-6.55%,118.4,-3.1888798037612354,2.7973340842954997,0.5454039097565829,0.0715619013074355,0.6053892311278056
2015-01-01,1095.1,"1,172.40","1,174.40","1,072.30",3.60M,-6.55%,118.3,-0.08445945945946276,0.0,0.5464124339531747,0.07210220302712625,0.6134154883686471
2015-01-01,1115.2,"1,133.80","1,156.40","1,097.70",2.67M,-1.53%,124.9,5.57903634826713,1.8354488174596062,0.5764679222579229,0.15259803669410424,0.5008185294379208
2015-01-01,1171.8,"1,189.80","1,205.70","1,162.10",2.70M,-1.51%,125.5,0.48038430744594685,5.0753228120516525,0.5055486834333425,0.15945820765833352,0.530937745238715
2015-01-01,1213.1,"1,283.00","1,286.50","1,190.00",2.39M,-5.17%,124.3,-0.9561752988047845,3.5244922341696405,0.44005461052003575,0.12604380332785853,0.4861678143197754
2015-01-01,1213.1,"1,283.00","1,286.50","1,190.00",2.39M,-5.17%,125.1,0.6436041834271933,0.0,0.4319827032285895,0.1144985473987845,0.47663414923412145
2015-01-01,1213.1,"1,283.00","1,286.50","1,190.00",2.39M,-5.17%,125.5,0.3197442046362964,0.0,-0.16455321458205605,0.11603774312660524,-0.1476784178546056
2015-01-01,1213.1,"1,283.00","1,286.50","1,190.00",2.39M,-5.17%,124.9,-0.47808764940238113,0.0,-0.14723843958932642,0.11752437672332043,-0.13097626555693384
2015-01-01,1183.2,"1,213.80","1,223.00","1,141.60",3.42M,-2.46%,118.3,-5.284227381905526,-2.4647597065369564,0.22924870000177222,0.21757963278387585,0.17983957744842807
2015-01-01,1183.2,"1,213.80","1,223.00","1,141.60",3.42M,-2.46%,118.4,0.08453085376163294,0.0,0.23907097017935747,0.47257122953737385,0.18814337173190623
2015-01-01,1213.1,"1,283.00","1,286.50","1,190.00",2.39M,-5.17%,123.3,4.138513513513509,2.5270453008789717,0.32191676516491985,0.5144063746765288,0.23335670875292497
2015-01-01,1183.2,"1,213.80","1,223.00","1,141.60",3.42M,-2.46%,118.7,-3.7307380373073795,-2.4647597065369564,0.45919183891433624,0.5593895040360881,0.3472573948215637
2015-01-01,1183.2,"1,213.80","1,223.00","1,141.60",3.42M,-2.46%,120.6,1.60067396798651,0.0,0.5635469251709111,0.5541587950367439,0.4296635906401707
2015-01-01,1183.2,"1,213.80","1,223.00","1,141.60",3.42M,-2.46%,122.3,1.4096185737976885,0.0,0.5460868102587735,0.5498166793924002,0.4136833716876674
2015-01-01,1183.2,"1,213.80","1,223.00","1,141.60",3.42M,-2.46%,123.3,0.8176614881439059,0.0,0.5424251758139289,0.5475883924175855,0.48841122355639865
2015-01-01,1183.2,"1,213.80","1,223.00","1,141.60",3.42M,-2.46%,124.1,0.6488240064882467,0.0,0.6500098952006603,0.5475677986731309,0.4436773927918003
2015-01-01,1183.2,"1,213.80","1,223.00","1,141.60",3.42M,-2.46%,124.3,0.16116035455278066,0.0,0.9530705263357927,0.5479428339274466,0.5008568059741639
